Countries,Revenue_generated($),Percentage of Loan Applications_Approved,Loan Types,Percentage_of _LoanPortfolio, Percentage_of_Delinquent_Loans,Loan_origination_Cost_in_USD,Credit_Score_Ranges,Loan_Delinquency_Rate(%),Revenue Distribution_by_Region:,Revenue_generated,Region_revenue_generated,Loan_Application_Stage,Number_of_Loans_or_Conversion_Rate,Cost_Efficiency_Ratio,Time Period_Months($)
Norway,9221221,81,Adjustable-rate mortgage,12,"",503,308,3,Americas,19247383,Middle East and Africa,Funding,370,68.1,10835244
Hong Kong,9672847,89,Fixed-rate mortgage,28,4,595,635,8,Europe,10079685,Americas,Underwriting,682,72.49,9505627
Denmark,9763743,74,Jumbo mortgage,22,0.5,379,506,4,Americas,29558324,Asia-Pacific,Application,758,82.53,10295615
Netherlands,9929753,81,Fixed-rate mortgage,38,3.5,502,590,5,Americas,27157685,Europe,Underwriting,288,78.75,10812030
Austria,9216377,86,Home Equity Line of Credit Construction loan,6,4,386,458,2,Americas,30268839,Europe,Underwriting,844,62.03,9869574
Darussalam,9164102,90,Home Equity Line of Credit Construction loan,39,3.5,308,564,4,Asia-Pacific,19826701,Middle East and Africa,Lead,462,74.32,9573380
Sweden,9536104,78,Jumbo mortgage,22,2.5,378,486,7,Europe,29117968,Middle East and Africa,Underwriting,660,80.16,9986518
Hong Kong,9162275,75,Fixed-rate mortgage,21,0.5,259,710,9,Europe,20721267,Europe,Underwriting,613,61.54,10867863
Austria,9729702,75,Adjustable-rate mortgage,17,2,364,808,10,Europe,25865490,Asia-Pacific,Underwriting,917,84.88,10277058
Australia,9882331,83,Home Equity Line of Credit Construction loan,18,4,527,657,3,Americas,16245194,Europe,Funding,913,65.64,10826622
Macao SAR,9763325,83,Home Equity Line of Credit Construction loan,15,2.5,457,638,4,Europe,26038762,Europe,Lead,570,80.94,9891012
"",9433237,70,Fixed-rate mortgage,17,2,267,445,5,Americas,27080947,Americas,Application,100,66.53,10949367
Singapore,9610593,88,Adjustable-rate mortgage,37,1,485,322,10,Asia-Pacific,18011539,Americas,Application,396,65.59,10026884
Hong Kong,9238093,72,Fixed-rate mortgage,34,4,605,319,9,Middle East and Africa,13870488,Middle East and Africa,Funding,395,78.12,9762267
Darussalam,9596336,85,Adjustable-rate mortgage,35,1.5,460,821,6,Europe,12044511,Middle East and Africa,Funding,309,89.29,11487790
Darussalam,9154105,70,Home Equity Line of Credit Construction loan,23,1,337,661,7,Europe,30205689,Europe,Underwriting,538,68.94,10375820
Hong Kong,9157692,88,Fixed-rate mortgage,20,0.5,324,321,8,Europe,22751203,Europe,Funding,312,81.63,9990518
San Marino,9759580,81,Fixed-rate mortgage,28,3,495,526,8,Europe,30904386,Middle East and Africa,Application,747,75.97,10218459
Germany,9986590,81,Fixed-rate mortgage,7,2,630,568,10,Asia-Pacific,16869534,Asia-Pacific,Underwriting,757,73.57,9866183
Australia,9692266,77,Fixed-rate mortgage,23,2.5,256,673,7,Americas,27687782,Middle East and Africa,Funding,891,85.27,11341748
Norway,9882154,78,Jumbo mortgage,11,2.5,613,319,8,Middle East and Africa,23903099,Middle East and Africa,Application,774,77.81,11906317
Iceland,9834347,77,Home Equity Line of Credit Construction loan,26,3.5,520,417,4,Middle East and Africa,30980835,Asia-Pacific,Underwriting,687,80.96,9725975
Netherlands,9030080,78,Jumbo mortgage,5,2,612,429,9,Middle East and Africa,21048514,Asia-Pacific,Funding,281,88.77,10074301
Australia,9029030,70,Jumbo mortgage,14,3.5,396,492,9,Middle East and Africa,23943851,Middle East and Africa,Funding,249,77.47,10084580
Iceland,9935336,73,Adjustable-rate mortgage,28,2,565,332,5,Europe,34540291,Europe,Funding,734,86.57,11608674
Luxembourg,9693344,70,Adjustable-rate mortgage,22,0.5,633,552,10,Americas,33634850,Europe,Underwriting,337,67.16,11022861
Iceland,9654148,72,Fixed-rate mortgage,35,1.5,431,791,7,Asia-Pacific,19513312,Asia-Pacific,Funding,894,78.77,9588395
Luxembourg,9379939,76,Fixed-rate mortgage,11,4,382,784,5,Middle East and Africa,12675519,Middle East and Africa,Underwriting,743,86.28,11921612
Singapore,9095011,89,Adjustable-rate mortgage,6,1.5,408,309,8,Asia-Pacific,33769848,Asia-Pacific,Underwriting,790,73.08,11905954
Australia,9427860,89,Home Equity Line of Credit Construction loan,11,4,284,745,4,Americas,31823058,Europe,Funding,688,60.66,9677243
Germany,9661896,75,Fixed-rate mortgage,12,3,337,529,9,Americas,25076701,Middle East and Africa,Lead,387,62.52,10099543
Sweden,9971596,78,Home Equity Line of Credit Construction loan,12,2,496,345,4,Middle East and Africa,34294310,Asia-Pacific,Application,440,67.79,10848662
Austria,9659171,88,Adjustable-rate mortgage,8,1.5,649,374,7,Asia-Pacific,10603884,Middle East and Africa,Funding,418,83.1,10992016
Darussalam,9626238,82,Home Equity Line of Credit Construction loan,21,"",406,341,2,Middle East and Africa,17301639,Middle East and Africa,Application,320,69.47,10053738
United Arab Emirates,9018738,84,Fixed-rate mortgage,10,2,422,516,9,Asia-Pacific,20861003,Europe,Underwriting,663,68.18,10979851
Germany,9764041,77,Home Equity Line of Credit Construction loan,11,2.5,444,361,6,Europe,23932980,Americas,Underwriting,270,83.38,9533785
Netherlands,9899813,80,Home Equity Line of Credit Construction loan,17,4,439,593,5,Middle East and Africa,20559617,Middle East and Africa,Application,660,74.09,10303672
Luxembourg,9558717,81,Jumbo mortgage,12,1.5,263,470,9,Americas,27899751,Asia-Pacific,Application,515,81.04,11444660
Luxembourg,9050779,89,Jumbo mortgage,33,3,375,336,6,Europe,17140864,Americas,Underwriting,569,67.08,10263825
Australia,9960785,78,Fixed-rate mortgage,14,2,293,780,4,Middle East and Africa,22246688,Europe,Lead,370,81.18,10387804
Netherlands,9965648,71,Adjustable-rate mortgage,6,"",260,433,6,Europe,14797596,Middle East and Africa,Underwriting,263,64.77,11676082
Hong Kong,9364483,77,Fixed-rate mortgage,23,2,453,362,6,Middle East and Africa,20101208,Asia-Pacific,Lead,264,81.19,9969562
Qatar,9095476,90,Fixed-rate mortgage,24,"",498,484,3,Americas,18071683,Asia-Pacific,Application,682,80.5,10020957
SAR United States,9454894,83,Adjustable-rate mortgage,39,2,650,308,9,Asia-Pacific,33138848,Europe,Application,516,83.82,11107618
Denmark,9652004,74,Fixed-rate mortgage,9,3,615,703,6,Europe,30896189,Middle East and Africa,Lead,347,66.08,10700906
Qatar,9243096,79,Adjustable-rate mortgage,12,4,625,462,8,Europe,15742309,Asia-Pacific,Application,652,78.8,11327081
Norway,9340553,88,Home Equity Line of Credit Construction loan,21,2.5,428,571,8,Europe,33282748,Europe,Funding,291,64.16,11874790
Macao SAR,9517267,72,Home Equity Line of Credit Construction loan,25,1.5,535,642,3,Americas,32265041,Europe,Lead,862,89.05,10872733
Darussalam,9622436,86,Jumbo mortgage,20,3,628,338,1,Americas,22047267,Middle East and Africa,Underwriting,283,69.86,10629035
Qatar,9101012,73,Fixed-rate mortgage,27,"",608,791,1,Middle East and Africa,26804599,Middle East and Africa,Underwriting,467,72.7,10766193
United Arab Emirates,9994601,72,Fixed-rate mortgage,19,2,366,668,5,Asia-Pacific,31883592,Asia-Pacific,Application,219,60.56,10078576
Switzerland,9503868,79,Fixed-rate mortgage,9,0.5,464,821,5,Middle East and Africa,12644957,Europe,Funding,341,61.51,9579028
"",9558269,85,Home Equity Line of Credit Construction loan,23,3,274,415,9,Americas,20973164,Europe,Application,348,82.1,10988685
Netherlands,9460617,77,Home Equity Line of Credit Construction loan,18,0.5,278,488,9,Middle East and Africa,30302962,Asia-Pacific,Funding,443,82.62,10227798
Denmark,9807725,72,Fixed-rate mortgage,34,3.5,517,610,7,Europe,12795796,Europe,Underwriting,651,72.73,10170013
Switzerland,9130961,77,Adjustable-rate mortgage,9,1,350,497,3,Americas,21976011,Middle East and Africa,Application,652,88.18,10792949
Germany,9340470,85,Adjustable-rate mortgage,40,2,587,337,1,Europe,14891170,Middle East and Africa,Funding,103,76.59,11307403
Switzerland,9880162,80,Adjustable-rate mortgage,6,1.5,616,737,3,Middle East and Africa,16678886,Middle East and Africa,Funding,461,63.83,10545053
Switzerland,9206345,83,Jumbo mortgage,15,"",254,736,8,Middle East and Africa,34424492,Asia-Pacific,Funding,298,76.74,9884026
Austria,9324507,76,Fixed-rate mortgage,7,2.5,611,774,6,Middle East and Africa,22049703,Asia-Pacific,Underwriting,929,65.6,11417831
Netherlands,9431493,90,Home Equity Line of Credit Construction loan,35,0.5,533,439,1,Europe,10659647,Americas,Underwriting,875,86.5,11795030
Switzerland,9793909,84,Jumbo mortgage,32,"",585,376,8,Middle East and Africa,27114365,Europe,Funding,108,61.45,11962555
"",9579105,75,Jumbo mortgage,13,"",639,534,9,Americas,29914106,Europe,Application,820,61.64,11955606
Singapore,9637084,71,Jumbo mortgage,7,4,636,714,1,Middle East and Africa,21840033,Europe,Underwriting,180,78.95,9586886
Norway,9294438,83,Adjustable-rate mortgage,9,1,418,448,6,Asia-Pacific,12191603,Europe,Underwriting,842,63.48,10723406
Ireland,9602163,78,Adjustable-rate mortgage,21,4,539,791,8,Americas,29992590,Europe,Underwriting,419,87.42,9649926
SAR United States,9423367,79,Fixed-rate mortgage,18,"",509,838,8,Americas,32857276,Europe,Funding,361,68.18,11440854
SAR United States,9743116,86,Fixed-rate mortgage,26,1.5,545,612,6,Europe,34942410,Middle East and Africa,Lead,853,83.86,10780790
Iceland,9847107,76,Adjustable-rate mortgage,5,3.5,378,511,1,Americas,17617099,Asia-Pacific,Underwriting,546,89.3,10809568
San Marino,9742879,84,Adjustable-rate mortgage,12,4,649,849,6,Europe,34163490,Asia-Pacific,Lead,706,83.47,10589347
Hong Kong,9704984,76,Fixed-rate mortgage,23,3.5,546,810,7,Middle East and Africa,23091778,Americas,Lead,598,68.37,10651843
Kuwait,9604529,74,Fixed-rate mortgage,10,2,509,322,7,Asia-Pacific,21831230,Middle East and Africa,Funding,767,74.92,11827310
Denmark,9580493,88,Jumbo mortgage,24,3.5,458,609,9,Middle East and Africa,12628662,Europe,Underwriting,286,64.61,10915897
Hong Kong,9994274,76,Fixed-rate mortgage,17,2,358,338,4,Asia-Pacific,29129967,Middle East and Africa,Funding,829,77.58,10901091
Switzerland,9804078,70,Home Equity Line of Credit Construction loan,5,1,414,503,9,Europe,33743076,Middle East and Africa,Lead,971,83.89,11334191
Brunei,9363935,85,Jumbo mortgage,34,3.5,340,654,6,Europe,34030670,Asia-Pacific,Lead,288,63.23,11378586
Iceland,9962223,73,Adjustable-rate mortgage,20,"",268,448,4,Americas,29169679,Asia-Pacific,Lead,556,87.01,11037748
Singapore,9861067,77,Home Equity Line of Credit Construction loan,10,2,296,562,4,Asia-Pacific,16308599,Europe,Underwriting,564,70.1,10072650
"",9536414,79,Jumbo mortgage,35,1.5,352,549,7,Americas,13298006,Asia-Pacific,Application,910,62.42,11073166
Hong Kong,9360411,70,Fixed-rate mortgage,10,1,266,802,4,Americas,24938086,Asia-Pacific,Funding,268,66.92,11209088
Norway,9765755,84,Fixed-rate mortgage,12,2.5,357,587,3,Middle East and Africa,19751355,Americas,Lead,424,65.32,11537710
Macao SAR,9906488,87,Adjustable-rate mortgage,18,3,368,725,2,Americas,26926888,Asia-Pacific,Application,590,88.24,10451897
Hong Kong,9912726,78,Home Equity Line of Credit Construction loan,28,4,372,761,10,Americas,19324227,Americas,Lead,984,63.39,9722678
Netherlands,9576801,86,Fixed-rate mortgage,18,0.5,530,796,2,Middle East and Africa,26636480,Americas,Funding,272,63.88,11685738
Ireland,9088779,87,Fixed-rate mortgage,40,"",530,822,9,Europe,28155715,Americas,Underwriting,279,74.99,10319935
Australia,9739923,81,Jumbo mortgage,19,4,394,708,6,Middle East and Africa,33265299,Americas,Application,933,83.82,10873682
Kuwait,9887119,82,Fixed-rate mortgage,22,0.5,548,393,4,Asia-Pacific,24545077,Middle East and Africa,Application,991,88.11,11857969
SAR United States,9808847,87,Jumbo mortgage,23,1.5,560,622,3,Middle East and Africa,11344351,Middle East and Africa,Funding,962,69.7,11700074
San Marino,9820680,72,Home Equity Line of Credit Construction loan,15,2.5,478,388,6,Middle East and Africa,26529485,Americas,Lead,825,74.11,10666660
Norway,9788056,77,Adjustable-rate mortgage,5,1,331,535,9,Europe,32686613,Middle East and Africa,Funding,394,62.22,10705830
Denmark,9429922,82,Fixed-rate mortgage,19,2.5,324,756,8,Europe,28549565,Americas,Funding,723,84.95,10853702
Luxembourg,9828442,70,Fixed-rate mortgage,6,1,499,409,10,Asia-Pacific,22246875,Americas,Funding,875,73.95,9693004
Qatar,9795515,74,Home Equity Line of Credit Construction loan,29,2,473,745,3,Americas,11940454,Europe,Funding,365,89.98,11520766
Sweden,9120578,83,Jumbo mortgage,24,"",398,664,8,Europe,34724562,Middle East and Africa,Underwriting,851,87.76,11997802
Singapore,9089530,72,Adjustable-rate mortgage,37,"",388,593,10,Americas,10184385,Europe,Application,735,60.84,9500240
Singapore,9809051,71,Jumbo mortgage,11,2.5,565,777,7,Europe,30206264,Asia-Pacific,Lead,361,62.03,10084660
United Arab Emirates,9913908,90,Fixed-rate mortgage,20,4,403,815,10,Asia-Pacific,33803642,Americas,Funding,151,85.04,11077007
Brunei,9786772,77,Home Equity Line of Credit Construction loan,23,1,266,692,5,Europe,13714857,Americas,Funding,871,73.82,11683793
Netherlands,9654883,89,Fixed-rate mortgage,18,4,312,525,1,Europe,30461290,Middle East and Africa,Funding,634,75.4,10374729
Denmark,9895782,80,Jumbo mortgage,39,4,258,579,5,Americas,27502042,Americas,Application,661,62.7,10935384
Darussalam,9745099,73,Fixed-rate mortgage,32,2,467,442,7,Americas,32860115,Asia-Pacific,Lead,745,81.56,11431063
Kuwait,9268197,79,Fixed-rate mortgage,24,3.5,487,398,4,Middle East and Africa,29458486,Europe,Lead,513,60.79,10252596
Iceland,9170356,86,Jumbo mortgage,26,1,480,595,2,Asia-Pacific,14384442,Asia-Pacific,Application,140,80.24,11617289
Germany,9101131,85,Home Equity Line of Credit Construction loan,7,4,407,787,4,Americas,21151958,Asia-Pacific,Lead,755,70.77,10267007
Sweden,9280586,79,Adjustable-rate mortgage,30,4,590,787,10,Europe,32019275,Europe,Lead,999,66.61,11706675
Brunei,9782192,85,Adjustable-rate mortgage,12,2,600,624,9,Americas,19671934,Americas,Underwriting,146,74.33,11269570
SAR United States,9817321,83,Jumbo mortgage,6,1.5,555,747,7,Middle East and Africa,33191888,Middle East and Africa,Funding,766,63.02,10101183
Iceland,9532858,70,Fixed-rate mortgage,39,"",580,561,7,Europe,14870994,Middle East and Africa,Application,818,89.67,10723304
Darussalam,9857893,85,Adjustable-rate mortgage,36,1.5,414,566,7,Americas,19115030,Americas,Underwriting,307,62.05,11972055
SAR United States,9065049,70,Home Equity Line of Credit Construction loan,16,3.5,584,709,4,Asia-Pacific,15824416,Americas,Application,150,87.88,10947942
Netherlands,9565129,85,Adjustable-rate mortgage,14,1,265,739,5,Asia-Pacific,24493327,Middle East and Africa,Application,138,83.13,10629988
United Arab Emirates,9564970,88,Fixed-rate mortgage,24,"",369,847,10,Europe,23516044,Europe,Lead,888,60.51,10209842
United Arab Emirates,9594628,83,Jumbo mortgage,7,2,315,553,3,Americas,28877034,Middle East and Africa,Funding,569,60.93,10797658
Denmark,9010838,74,Jumbo mortgage,30,1.5,438,742,7,Europe,28255528,Middle East and Africa,Application,354,73.31,9913261
Germany,9206630,79,Adjustable-rate mortgage,9,0.5,568,505,10,Middle East and Africa,26567933,Middle East and Africa,Underwriting,338,88.68,11171193
SAR United States,9505177,87,Home Equity Line of Credit Construction loan,13,1.5,473,513,2,Americas,32879108,Americas,Application,706,62.11,11754007
Ireland,9953152,88,Fixed-rate mortgage,10,"",378,381,7,Americas,26939011,Europe,Underwriting,748,73.92,11281590
United Arab Emirates,9576710,83,Home Equity Line of Credit Construction loan,37,0.5,393,674,9,Asia-Pacific,24617223,Europe,Underwriting,153,62.05,10021390
SAR United States,9165878,83,Home Equity Line of Credit Construction loan,35,4,637,661,6,Middle East and Africa,27831046,Asia-Pacific,Underwriting,717,84.2,11349098
Luxembourg,9517805,71,Adjustable-rate mortgage,5,0.5,480,471,9,Middle East and Africa,15269682,Asia-Pacific,Funding,552,69.21,11913860
Sweden,9744152,87,Jumbo mortgage,16,3.5,398,808,7,Europe,33502298,Americas,Funding,388,87.29,10085793
Norway,9642093,77,Home Equity Line of Credit Construction loan,26,1.5,325,606,3,Americas,31382319,Asia-Pacific,Application,138,86.37,9508517
United Arab Emirates,9373390,70,Jumbo mortgage,6,0.5,427,544,8,Middle East and Africa,33382134,Americas,Funding,392,62.5,10145847
Hong Kong,9407249,89,Jumbo mortgage,23,0.5,599,464,1,Americas,23361872,Asia-Pacific,Lead,526,71.14,10763257
Netherlands,9322570,76,Adjustable-rate mortgage,31,3,287,409,8,Asia-Pacific,12810872,Asia-Pacific,Lead,780,71.13,9784412
Norway,9450524,88,Jumbo mortgage,8,0.5,418,837,8,Americas,20598954,Asia-Pacific,Lead,860,71.23,10010504
Sweden,9722718,73,Fixed-rate mortgage,21,"",309,390,6,Middle East and Africa,20271237,Asia-Pacific,Application,872,76.75,9571080
Germany,9128983,89,Jumbo mortgage,35,4,349,392,10,Middle East and Africa,25824981,Americas,Funding,226,62.24,9802937
Sweden,9118669,78,Home Equity Line of Credit Construction loan,24,2,438,836,1,Europe,14546525,Asia-Pacific,Lead,959,87.49,11737851
Norway,9475674,72,Jumbo mortgage,29,1.5,386,793,3,Americas,31832045,Middle East and Africa,Funding,326,62.55,11335860
Australia,9490993,72,Adjustable-rate mortgage,14,2,259,783,2,Americas,27674192,Middle East and Africa,Underwriting,532,60.55,11604609
Brunei,9999256,86,Adjustable-rate mortgage,30,"",520,557,5,Middle East and Africa,29341748,Americas,Funding,964,66.46,10640317
Australia,9486206,76,Jumbo mortgage,5,3.5,351,653,2,Europe,23293607,Middle East and Africa,Funding,994,73.05,10060830
Macao SAR,9362913,88,Fixed-rate mortgage,18,1,557,394,10,Europe,14370853,Middle East and Africa,Funding,972,62.42,9734784
Iceland,9026812,80,Adjustable-rate mortgage,36,2.5,428,381,3,Europe,14787753,Asia-Pacific,Funding,943,80.41,10053243
Norway,9907908,86,Adjustable-rate mortgage,8,0.5,257,348,6,Asia-Pacific,29699497,Europe,Lead,973,81.41,10838964
United Arab Emirates,9727358,85,Home Equity Line of Credit Construction loan,19,4,419,528,8,Middle East and Africa,28220533,Europe,Funding,241,81.69,9838417
Austria,9370200,78,Home Equity Line of Credit Construction loan,33,2,617,312,6,Asia-Pacific,13544918,Asia-Pacific,Application,185,87.1,9785716
Brunei,9204037,70,Adjustable-rate mortgage,12,2.5,258,398,2,Europe,33422653,Europe,Application,981,68.13,11553417
Switzerland,9361272,81,Jumbo mortgage,27,2.5,413,395,2,Asia-Pacific,14286012,Middle East and Africa,Underwriting,877,62.44,11768351
Kuwait,9058413,83,Jumbo mortgage,6,1,311,799,2,Americas,31318002,Europe,Funding,819,73.96,9788720
United Arab Emirates,9232051,72,Fixed-rate mortgage,28,2.5,350,485,2,Europe,11501104,Europe,Application,249,76.8,9872017
Sweden,9281846,79,Jumbo mortgage,38,2.5,260,352,2,Americas,33941340,Asia-Pacific,Funding,872,74.25,11240810
SAR United States,9339632,86,Fixed-rate mortgage,29,3.5,580,632,9,Americas,15608089,Middle East and Africa,Funding,467,67.09,10736597
Austria,9520188,87,Jumbo mortgage,30,1.5,498,687,1,Americas,30797519,Asia-Pacific,Underwriting,208,85.32,11756352
Switzerland,9913838,89,Adjustable-rate mortgage,24,2,415,385,5,Middle East and Africa,18969012,Asia-Pacific,Lead,697,66.19,11465371
Macao SAR,9604597,79,Home Equity Line of Credit Construction loan,7,4,498,771,1,Middle East and Africa,11186134,Americas,Application,496,74.91,10167660
Australia,9803791,72,Adjustable-rate mortgage,33,4,640,693,4,Asia-Pacific,29994511,Middle East and Africa,Underwriting,319,61.01,9782185
Austria,9848157,89,Jumbo mortgage,33,1.5,271,817,6,Americas,19979861,Europe,Application,649,69.31,11849638
Iceland,9020751,71,Adjustable-rate mortgage,31,"",595,614,8,Europe,33364222,Asia-Pacific,Lead,224,63.05,10526726
SAR United States,9233349,77,Home Equity Line of Credit Construction loan,39,4,294,822,4,Europe,32333036,Middle East and Africa,Underwriting,114,70.44,9939249
Brunei,9166524,81,Adjustable-rate mortgage,25,0.5,412,514,10,Middle East and Africa,17059242,Asia-Pacific,Lead,255,81.69,10270019
Netherlands,9252741,73,Fixed-rate mortgage,31,2.5,418,677,4,Asia-Pacific,31988489,Europe,Underwriting,594,89.42,10764812
Denmark,9294893,80,Fixed-rate mortgage,11,"",491,513,5,Middle East and Africa,16697554,Middle East and Africa,Application,964,88.85,11287956
Luxembourg,9393967,73,Adjustable-rate mortgage,35,4,364,335,10,Americas,21351296,Asia-Pacific,Underwriting,350,67.79,11677412
Singapore,9512531,81,Home Equity Line of Credit Construction loan,12,2,355,682,7,Europe,28704316,Europe,Lead,546,64.84,11290171
Iceland,9517385,88,Home Equity Line of Credit Construction loan,39,2,480,388,3,Americas,12348049,Europe,Underwriting,204,81.35,10035339
SAR United States,9037242,78,Adjustable-rate mortgage,14,1.5,251,319,1,Europe,23633672,Asia-Pacific,Underwriting,561,67.07,10519043
Switzerland,9010406,79,Jumbo mortgage,34,1,502,366,8,Asia-Pacific,15464593,Asia-Pacific,Funding,433,70.42,11960625
Switzerland,9248321,84,Adjustable-rate mortgage,32,2,597,567,10,Europe,29742968,Americas,Funding,959,69.65,11611983
Switzerland,9040464,81,Home Equity Line of Credit Construction loan,27,0.5,305,449,3,Americas,33361554,Middle East and Africa,Underwriting,721,69.56,9526582
Ireland,9797723,84,Fixed-rate mortgage,12,2,273,592,7,Americas,24463678,Middle East and Africa,Underwriting,358,75.69,9542307
Darussalam,9365072,88,Home Equity Line of Credit Construction loan,16,2.5,461,650,5,Europe,22361562,Europe,Underwriting,471,74.69,11080132
Singapore,9230487,81,Adjustable-rate mortgage,21,3,431,403,3,Europe,16025986,Europe,Underwriting,928,88.62,10760248
United Arab Emirates,9571859,85,Fixed-rate mortgage,8,1,324,537,1,Asia-Pacific,11356141,Europe,Application,456,69.85,11843815
Germany,9817278,73,Home Equity Line of Credit Construction loan,32,3,487,502,3,Asia-Pacific,29752559,Asia-Pacific,Underwriting,521,85.13,11451958
Kuwait,9315522,87,Adjustable-rate mortgage,5,4,602,528,5,Asia-Pacific,18749001,Europe,Lead,296,68.65,10512247
Hong Kong,9981985,76,Jumbo mortgage,28,1,301,454,10,Americas,27606678,Asia-Pacific,Underwriting,915,71.33,11977621
Austria,9190833,80,Adjustable-rate mortgage,39,1.5,645,451,7,Americas,16453984,Americas,Lead,268,86.04,11817185
Singapore,9080041,78,Adjustable-rate mortgage,19,"",313,662,8,Middle East and Africa,18220113,Asia-Pacific,Application,497,69.61,10200391
Norway,9652537,71,Fixed-rate mortgage,15,0.5,343,359,8,Asia-Pacific,28855991,Americas,Lead,943,64.24,11806094
"",9631756,81,Fixed-rate mortgage,6,2,292,368,6,Europe,17845578,Asia-Pacific,Underwriting,759,89.38,10484608
Ireland,9915546,78,Adjustable-rate mortgage,26,"",606,788,9,Middle East and Africa,14764279,Asia-Pacific,Application,997,67.31,9682016
Denmark,9013239,88,Fixed-rate mortgage,9,2.5,447,709,4,Asia-Pacific,11636090,Middle East and Africa,Underwriting,749,87.83,10899657
